MATK,HOTEN,SDT,EMAIL,CCCD,GIOITINH,NGAYSINH,DIEM_LOYALTY,SOTIENDATIEU,MACAPBAC
1,Anh Đức Lê,0918224084,user1@example.com,575047003202,Nam,1994-12-02,2361,17626940,2
2,Quý ông Nhiên Dương,0931712735,user2@example.com,659712838854,Nam,1990-11-29,1648,9194775,2
3,Bà Linh Đặng,0915611575,user3@example.com,705834844094,Nam,1990-12-23,4872,12331754,1
4,Trọng Quang Bùi,0920931196,user4@example.com,318192275107,Nam,2004-11-07,4909,6974488,2
5,Bác Trung Đặng,0933955320,user5@example.com,653452867705,Nam,1996-07-03,4861,1610842,3
6,Minh Trí Nguyễn,0912056486,user6@example.com,137456175827,Nữ,2000-09-21,1383,18044089,2
7,Nam Đức Trần,0958001112,user7@example.com,224091682174,Nam,1995-11-05,1926,846765,3
8,Xuân Phạm,0971118234,user8@example.com,992165039012,Nam,2003-12-04,3901,6453616,3
9,Bà Hạnh Vũ,0996012224,user9@example.com,579828374000,Nữ,1996-01-05,2770,3053395,3
10,Minh Đức Dương,0957863635,user10@example.com,557718141565,Nam,2005-11-07,3854,6482505,2
11,Ông Quang Vũ,0976655558,user11@example.com,218210336928,Nam,2003-05-20,2151,799870,3
12,Ông Phúc Nguyễn,0931924620,user12@example.com,814375391499,Nam,2004-06-18,387,2877433,1
13,Hạnh Đức Lê,0933652735,user13@example.com,108494099608,Nam,1997-02-28,2753,14255195,2
14,Bảo Nguyễn,0921382003,user14@example.com,696782937967,Nữ,1994-05-09,4945,12313638,2
15,Lâm Mai Bảo Phạm,0996287452,user15@example.com,497121256059,Nam,1996-07-10,1036,14233231,3
16,Quý cô Nhật Vũ,0956572348,user16@example.com,362609594507,Nữ,2004-10-08,3375,15959332,2
17,Nhiên Đặng,0980720924,user17@example.com,578928420253,Nam,1999-03-05,795,9235430,3
18,Anh Đức Dương,0935399235,user18@example.com,258626351106,Nữ,1997-04-18,2639,66266,3
19,Yến Phạm,0933209472,user19@example.com,155893259702,Nữ,1995-02-11,4461,18407320,2
20,Quý cô Mai Phạm,0944790382,user20@example.com,220514479376,Nữ,1991-11-21,4830,3651402,1
